;from;to;weight;book
139;Geralt;Roegner;1;1
140;Geralt;Crach;2;1
141;Crach;Rainfarn;4;1
142;Rainfarn;Calanthe;4;1
143;Rainfarn;Crach;1;1
144;Calanthe;Crach;2;1
145;Rainfarn;Pavetta;2;1
146;Rainfarn;Eist;1;1
147;Windhalm;Calanthe;1;1
148;Windhalm;Pavetta;1;1
149;Windhalm;Eist;1;1
150;Pavetta;Rainfarn;2;1
151;Eist;Mousesack;2;1
152;Crach;Drogodar;1;1
153;Drogodar;Geralt;1;1
154;Crach;Mousesack;1;1
155;Mousesack;Geralt;1;1
156;Mousesack;Pavetta;2;1
157;Pavetta;Draig;1;1
158;Calanthe;Rainfarn;1;1
159;Rainfarn;Mousesack;1;1
160;Akerspaark;Roegner;1;1
161;Rainfarn;Geralt;1;1
162;Nettly;Geralt;2;1
163;Geralt;Nettly;3;1
164;Geralt;Dhun;7;1
165;Dhun;Geralt;3;1
166;Dhun;Nettly;4;1
167;Nettly;Dhun;3;1
168;Lille;Dhun;2;1
169;Dhun;Lille;3;1
170;Lille;Geralt;6;1
171;Geralt;Lille;6;1
172;Nettly;Lille;2;1
173;Geralt;Little;1;1
174;Torque;Galarr;3;1
175;Galarr;Geralt;3;1
176;Geralt;Galarr;3;1
177;Galarr;Torque;1;1
178;Geralt;Torque;6;1
179;Aen;Geralt;2;1
180;Aen;Vanadain;1;1
181;Geralt;Vanadain;2;1
182;Geralt;Toruviel;7;1
183;Vanadain;Toruviel;1;1
184;Vanadain;Geralt;2;1
185;Toruviel;Geralt;5;1
186;Toruviel;Torque;1;1
187;Toruviel;Vanadain;1;1
188;Toruviel;Galarr;1;1
189;Torque;Vanadain;1;1
190;Vanadain;Galarr;1;1
191;Torque;Toruviel;2;1
192;Torque;Geralt;3;1
193;Filavandrel;Geralt;3;1
194;Geralt;Filavandrel;5;1
195;Filavandrel;Toruviel;5;1
196;Toruviel;Filavandrel;4;1
197;Filavandrel;Torque;2;1
198;Filavandrel;Aen;1;1
199;Toruviel;Aen;1;1
200;Filavandrel;Lille;2;1
201;Lille;Field;1;1
202;Field;Filavandrel;1;1
203;Toruviel;Lille;1;1
204;Torque;Field;1;1
205;Torque;Lille;1;1
206;Nenneke;Yennefer;1;1
207;Geralt;Yennefer;22;1
208;King;Geralt;1;1
209;Chireadan;Errdil;2;1
210;Chireadan;Vratimir;2;1
211;Chireadan;Geralt;15;1
212;Errdil;Vratimir;3;1
213;Errdil;Geralt;3;1
214;Vratimir;Geralt;3;1
215;Geralt;Vratimir;2;1
216;Geralt;Chireadan;9;1
217;Vratimir;Chireadan;1;1
218;Geralt;King;1;1
219;Errdil;Chireadan;5;1
220;Geralt;Beau;4;1
221;Beau;Chireadan;3;1
222;Yennefer;Geralt;23;1
223;Geralt;Triss;1;1
224;Triss;Beau;1;1
225;Two;Yennefer;1;1
226;Yennefer;Errdil;3;1
227;Errdil;Yennefer;1;1
228;Vratimir;Yennefer;2;1
229;Chireadan;Yennefer;7;1
230;Yennefer;Beau;1;1
231;Yennefer;Chireadan;3;1
232;Beau;Yennefer;1;1
233;Geralt;Sir;1;1
234;Geralt;Laurelnose;3;1
235;Chireadan;Laurelnose;1;1
236;Laurelnose;Yennefer;1;1
237;Laurelnose;Chireadan;1;1
238;Laurelnose;Geralt;2;1
239;Yennefer;Laurelnose;1;1
240;Laurelnose;Neville;1;1
241;Neville;Yennefer;1;1
242;Geralt;Neville;2;1
243;Neville;Geralt;1;1
244;Neville;Laurelnose;1;1
245;Yennefer;Neville;1;1
246;Geralt;Eskel;1;1
247;Geralt;Vesemir;1;1
248;Eskel;Vesemir;1;1
249;Eskel;Errdil;1;1
250;Vesemir;Errdil;1;1
251;Neville;Chireadan;1;1
252;Neville;Errdil;1;1
253;Chireadan;Neville;1;1
254;Geralt;Dennis;3;1
255;Dennis;Geralt;3;1
256;Falwick;Dennis;1;1
257;Falwick;Count;2;1
258;Dennis;Count;2;1
259;Dennis;Falwick;1;1
260;Geralt;Count;1;1
261;Nenneke;Count;1;1
262;Count;Dennis;1;1
263;Count;Geralt;1;1
264;Iola;Nenneke;1;1
265;Yennefer;Geralt;25;2
266;Istredd;Geralt;24;2
267;Istredd;Yennefer;10;2
268;Geralt;Yennefer;7;2
269;Yennefer;Istredd;4;2
270;Geralt;Herbolth;15;2
271;Herbolth;Geralt;12;2
272;Geralt;Seven;1;2
273;Herbolth;Seven;1;2
274;Seven;Sir;1;2
275;Sir;Herbolth;1;2
276;Istredd;Herbolth;5;2
277;Herbolth;Istredd;2;2
278;Geralt;Istredd;24;2
279;Istredd;Beau;1;2
280;Yennefer;Beau;1;2
281;Beau;Istredd;1;2
282;Vespula;Dandelion;3;2
283;Vespula;Geralt;4;2
284;Dandelion;Geralt;74;2
285;Geralt;Dandelion;88;2
286;Dandelion;Gar;2;2
287;Geralt;Gar;1;2
288;Gar;Dandelion;2;2
289;Geralt;Dudu;10;2
290;Dandelion;Dudu;3;2
291;Dudu;Geralt;4;2
292;Vimme;Dandelion;4;2
293;Dandelion;Vimme;3;2
294;Geralt;Vimme;1;2
295;Vimme;Geralt;2;2
296;Dandelion;Vespula;4;2
297;Dudu;Dandelion;1;2
298;Dandelion;Little;6;2
299;Dandelion;Sword;4;2
300;Little;Sword;1;2
301;Little;Geralt;9;2
302;Sword;Geralt;2;2
303;Geralt;Agloval;12;2
304;Agloval;Geralt;11;2
305;Dandelion;Teleri;2;2
306;Geralt;Teleri;1;2
307;Geralt;Essi;29;2
308;Teleri;Geralt;1;2
309;Teleri;Dandelion;1;2
310;Teleri;Essi;1;2
311;Dandelion;Essi;11;2
312;Essi;Geralt;23;2
313;Essi;Dandelion;7;2
314;Little;Dandelion;7;2
315;Geralt;Little;3;2
316;Little;Agloval;4;2
317;Little;Essi;4;2
318;Agloval;Essi;12;2
319;Agloval;Dandelion;3;2
320;Dandelion;Duke;1;2
321;Geralt;Duke;3;2
322;Duke;Dandelion;1;2
323;Duke;Geralt;3;2
324;Geralt;Zelest;5;2
325;Dandelion;Zelest;2;2
326;Dandelion;Agloval;3;2
327;Zelest;Agloval;4;2
328;Agloval;Zelest;2;2
329;Zelest;Geralt;7;2
330;Zelest;Duke;2;2
331;Duke;Agloval;2;2
332;Agloval;Duke;1;2
333;Dandelion;Veverka;2;2
334;Veverka;Dandelion;1;2
335;Essi;Little;5;2
336;Yennefer;Dandelion;2;2
337;Dandelion;Yennefer;1;2
338;Essi;Agloval;9;2
339;Agloval;Little;3;2
340;Essi;Yennefer;1;2
341;Duke;Zelest;1;2
342;Dandelion;Braenn;2;2
343;Sword;Braenn;1;2
344;Braenn;Geralt;18;2
345;Geralt;Freixenet;15;2
346;Freixenet;Geralt;12;2
347;Geralt;Eithné;13;2
348;Eithné;Geralt;18;2
349;Geralt;Braenn;17;2
350;Braenn;Ciri;10;2
351;Geralt;Ciri;35;2
352;Ciri;Braenn;13;2
353;Ciri;Sir;2;2
354;Braenn;Sir;2;2
355;Sir;Freixenet;2;2
356;Braenn;Eithné;7;2
357;Eithné;Braenn;7;2
358;Ciri;Geralt;18;2
359;Eithné;Ciri;10;2
360;Ciri;Eithné;9;2
361;Geralt;Aen;1;2
362;Aen;Braenn;2;2
363;Aen;Geralt;1;2
364;Ciri;Freixenet;6;2
365;Braenn;Freixenet;1;2
366;Freixenet;Ciri;7;2
367;Eithné;Venzlav;2;2
368;Geralt;Venzlav;6;2
369;Venzlav;Eithné;1;2
370;Venzlav;Freixenet;4;2
371;Eithné;Freixenet;1;2
372;Freixenet;Eithné;1;2
373;Venzlav;Geralt;2;2
374;Freixenet;Braenn;1;2
375;Yennefer;Eithné;1;2
376;Eithné;Calanthe;1;2
377;Geralt;Calanthe;21;2
378;Calanthe;Eithné;2;2
379;Ciri;Pavetta;2;2
380;Pavetta;Ciri;2;2
381;Two;Ciri;1;2
382;Ciri;Guy;1;2
383;Braenn;Mousesack;1;2
384;Calanthe;Ciri;1;2
385;Calanthe;Mousesack;4;2
386;Ciri;Mousesack;2;2
387;Mousesack;Ciri;3;2
388;Geralt;Mousesack;12;2
389;Mousesack;Geralt;8;2
390;Yurga;King;3;2
391;King;Yurga;2;2
392;Yurga;Sir;1;2
393;Sir;Yurga;2;2
394;Yurga;Yennefer;1;2
395;Yennefer;Yurga;1;2
396;Geralt;King;1;2
397;King;Geralt;3;2
398;Geralt;Yurga;27;2
399;Yurga;Mousesack;1;2
400;Mousesack;Calanthe;5;2
401;Calanthe;Geralt;22;2
402;Calanthe;Pavetta;6;2
403;Geralt;Pavetta;4;2
404;Pavetta;Calanthe;8;2
405;Pavetta;Geralt;8;2
406;Yurga;Visenna;2;2
407;Visenna;Geralt;17;2
408;Geralt;Visenna;10;2
409;Visenna;Yurga;2;2
410;Yurga;Geralt;21;2
411;Geralt;Triss;1;2
412;Yurga;Triss;1;2
413;Triss;Geralt;2;2
414;Geralt;Roach;2;2
415;Yurga;Roach;1;2
416;Roach;Yurga;2;2
417;Roach;Dandelion;3;2
418;Roach;Geralt;2;2
419;Dandelion;Calanthe;4;2
420;Calanthe;Dandelion;1;2
421;Ciri;Dandelion;1;2
422;Yurga;Ciri;5;2
423;Ciri;Yurga;2;2
424;Ciri;Geralt;58;3
425;Geralt;Ciri;48;3
426;Baron;Dandelion;3;3
427;Dandelion;Geralt;13;3
428;Dandelion;Yennefer;11;3
429;Geralt;Yennefer;19;3
430;Geralt;Dandelion;16;3
431;Yennefer;Dandelion;8;3
432;Yennefer;Geralt;20;3
433;Dandelion;Baron;2;3
434;Geralt;Baron;1;3
435;Dandelion;Sheldon;2;3
436;Dandelion;Donimir;1;3
437;Sheldon;Donimir;2;3
438;Donimir;Sheldon;1;3
439;Donimir;Two;1;3
440;Two;Dandelion;3;3
441;Calanthe;Dandelion;1;3
442;Dandelion;Calanthe;2;3
443;Sheldon;Baron;1;3
444;Sheldon;Dandelion;2;3
445;Baron;Sheldon;1;3
446;Little;Dandelion;1;3
447;Dandelion;Rience;19;3
448;Rience;Dandelion;29;3
449;Ciri;Dandelion;4;3
450;Rience;Ciri;1;3
451;Dandelion;Ciri;2;3
452;Ciri;Rience;1;3
453;Rience;Geralt;20;3
454;Dandelion;Sir;1;3
455;Sir;Rience;1;3
456;Sir;Dandelion;1;3
457;Rience;Yennefer;5;3
458;King;Dandelion;4;3
459;Yennefer;Calanthe;2;3
460;Geralt;Calanthe;1;3
461;Calanthe;Geralt;3;3
462;Calanthe;Rience;1;3
463;Geralt;Rience;10;3
464;Yennefer;Rience;1;3
465;Ciri;Yennefer;68;3
466;Ciri;Roach;2;3
467;Eskel;Ciri;5;3
468;Ciri;Eskel;5;3
469;Eskel;Roach;2;3
470;Roach;Ciri;1;3
471;Roach;Eskel;1;3
472;Ciri;Lambert;14;3
473;Lambert;Ciri;14;3
474;Ciri;Vesemir;11;3
475;Vesemir;Geralt;9;3
476;Triss;Ciri;64;3
477;Ciri;Triss;68;3
478;Geralt;Triss;44;3
479;Triss;Geralt;34;3
480;Triss;Lambert;6;3
481;Lambert;Vesemir;4;3
482;Vesemir;Ciri;15;3
483;Lambert;Triss;8;3
484;Triss;Vesemir;14;3
485;Vesemir;Triss;9;3
486;Vesemir;Lambert;4;3
487;Lambert;Geralt;6;3
488;Triss;Yennefer;8;3
489;Yennefer;Triss;3;3
490;Ciri;Two;3;3
491;Ciri;Calanthe;5;3
492;Vesemir;Eskel;1;3
493;Eskel;Triss;4;3
494;Triss;Eskel;4;3
495;Eskel;Vesemir;2;3
496;Eskel;Geralt;2;3
497;Geralt;Vesemir;5;3
498;Nenneke;Ciri;16;3
499;Ciri;Vanielle;1;3
500;Triss;Vanielle;1;3
501;Vanielle;Ciri;1;3
502;Yennefer;Ciri;56;3
503;Geralt;Ori;1;3
504;Ciri;Ori;1;3
505;Ori;Ciri;1;3
506;Beau;Ciri;1;3
507;Eskel;Lambert;1;3
508;Geralt;Eskel;1;3
509;Calanthe;Ciri;2;3
510;Yennefer;Vanielle;1;3
511;Vanielle;Yennefer;1;3
512;Vanielle;Geralt;1;3
513;Two;Ciri;1;3
514;Two;Triss;1;3
515;Triss;Forest;1;3
516;Forest;Geralt;1;3
517;Geralt;Yarpen;8;3
518;Yarpen;Geralt;14;3
519;Triss;Yarpen;7;3
520;Yarpen;Ciri;12;3
521;Ciri;Yarpen;24;3
522;Triss;King;1;3
523;Ciri;King;2;3
524;King;Geralt;3;3
525;Xavier;Yarpen;1;3
526;Xavier;Regan;1;3
527;Yarpen;Regan;1;3
528;Yannick;Yarpen;1;3
529;Paulie;Xavier;1;3
530;Xavier;Paulie;1;3
531;Paulie;Yannick;1;3
532;Yannick;Ciri;1;3
533;Yennefer;Yarpen;1;3
534;Regan;Yarpen;1;3
535;Yarpen;Triss;3;3
536;King;Yarpen;2;3
537;Yannick;Paulie;1;3
538;Paulie;Yarpen;3;3
539;Paulie;Triss;1;3
540;King;Henselt;2;3
541;King;Ciri;1;3
542;Henselt;Ciri;1;3
543;Ciri;Aelirenn;5;3
544;Aelirenn;Ciri;2;3
545;Aelirenn;Yarpen;1;3
546;Yarpen;Aelirenn;1;3
547;Ciri;Yannick;2;3
548;Yarpen;Yannick;1;3
549;Ciri;Regan;2;3
550;Regan;Ciri;2;3
551;Ciri;Paulie;5;3
552;Paulie;Ciri;3;3
553;Ciri;Sword;1;3
554;Paulie;Sword;1;3
555;Sword;Paulie;2;3
556;Yannick;Regan;1;3
557;Everett;Geralt;11;3
558;Everett;Ciri;1;3
559;Ciri;Iola;6;3
560;Nenneke;Geralt;4;3
561;Nenneke;Beau;1;3
562;Geralt;Beau;1;3
563;Geralt;Nenneke;4;3
564;Beau;Nenneke;1;3
565;Beau;Geralt;1;3
566;Beau;Iola;1;3
567;Nenneke;Iola;2;3
568;Geralt;Iola;2;3
569;Ciri;Nenneke;12;3
570;Geralt;Everett;6;3
571;Everett;Foltest;1;3
572;Geralt;Foltest;1;3
573;Geralt;King;3;3
574;Everett;Dandelion;1;3
575;Dandelion;Two;3;3
576;Dandelion;Shani;9;3
577;Shani;Dandelion;8;3
578;Shani;Two;1;3
579;Dandelion;King;3;3
580;Dandelion;Ori;2;3
581;Ori;Philippa;2;3
582;Rience;Philippa;6;3
583;Philippa;Dandelion;8;3
584;Dandelion;Philippa;15;3
585;Philippa;Ori;1;3
586;Philippa;Rience;7;3
587;Ori;Rience;3;3
588;Philippa;Geralt;9;3
589;Geralt;Philippa;10;3
590;Rience;King;1;3
591;King;Philippa;1;3
592;Philippa;Yennefer;1;3
593;Yennefer;Philippa;6;3
594;Ori;Dandelion;2;3
595;Geralt;Shani;7;3
596;Shani;Geralt;4;3
597;Yennefer;Shani;1;3
598;Shani;Philippa;3;3
599;King;Foltest;1;3
600;Foltest;Meve;1;3
601;Meve;Henselt;4;3
602;Henselt;Ethain;1;3
603;Henselt;Crach;1;3
604;Ethain;Crach;1;3
605;Ethain;Henselt;1;3
606;Crach;Henselt;1;3
607;Crach;Emhyr;1;3
608;Henselt;Emhyr;1;3
609;Henselt;Foltest;1;3
610;Ithlinne;Emhyr;2;3
611;Emhyr;Foltest;1;3
612;Henselt;Meve;2;3
613;Calanthe;Crach;3;3
614;Crach;Foltest;1;3
615;Foltest;Henselt;1;3
616;Vilgefortz;Emhyr;1;3
617;Vilgefortz;Vissegerd;1;3
618;Emhyr;Vissegerd;1;3
619;Vissegerd;Foltest;3;3
620;Vissegerd;Calanthe;3;3
621;Foltest;Vissegerd;4;3
622;Foltest;Calanthe;2;3
623;Calanthe;Foltest;3;3
624;Calanthe;Vissegerd;1;3
625;Calanthe;Meve;2;3
626;Vissegerd;Meve;2;3
627;Ekkehard;Venzlav;1;3
628;Venzlav;Foltest;1;3
629;King;Meve;2;3
630;King;Calanthe;1;3
631;Meve;Calanthe;1;3
632;Meve;Pavetta;1;3
633;Meve;Foltest;1;3
634;Calanthe;Pavetta;1;3
635;Pavetta;Foltest;2;3
636;Foltest;Rience;1;3
637;Vissegerd;Rience;1;3
638;Rience;Calanthe;1;3
639;Rience;Foltest;1;3
640;Calanthe;Emhyr;2;3
641;Henselt;Vissegerd;1;3
642;Meve;Vissegerd;1;3
643;Foltest;Emhyr;1;3
644;Vissegerd;Emhyr;1;3
645;Emhyr;Meve;1;3
646;Rience;Windhalm;1;3
647;Philippa;Shani;1;3
648;Nenneke;Yennefer;13;3
649;Two;Rience;1;3
650;Shani;Little;1;3
651;Shani;Rience;1;3
652;Little;Rience;2;3
653;Artaud;Tissaia;5;3
654;Artaud;Vilgefortz;4;3
655;Tissaia;Vilgefortz;7;3
656;Vilgefortz;Tissaia;6;3
657;Tissaia;Lydia;7;3
658;Lydia;Tissaia;6;3
659;Lydia;Artaud;4;3
660;Tissaia;Artaud;3;3
661;Tissaia;Two;1;3
662;Artaud;Lydia;5;3
663;Artaud;Two;1;3
664;Lydia;Two;1;3
665;Two;Lydia;2;3
666;Two;Tissaia;1;3
667;Two;Artaud;1;3
668;Vilgefortz;Lydia;4;3
669;Lydia;Vilgefortz;4;3
670;Vilgefortz;Artaud;3;3
671;Aen;Tissaia;1;3
672;Aen;Vilgefortz;1;3
673;Aen;Yennefer;1;3
674;Tissaia;Yennefer;3;3
675;Vilgefortz;Yennefer;2;3
676;Yennefer;Vilgefortz;1;3
677;Yennefer;Lydia;1;3
678;Yennefer;Artaud;1;3
679;Tissaia;Geralt;1;3
680;Rience;Sword;1;3
681;Sword;Geralt;1;3
682;Triss;Philippa;4;3
683;Philippa;Ciri;4;3
684;Ciri;Shani;2;3
685;Tissaia;Iola;1;3
686;Iola;Ciri;8;3
687;Iola;Yennefer;3;3
688;Yennefer;Iola;1;3
689;Jarre;Ciri;16;3
690;Ciri;Jarre;8;3
691;Jarre;Yennefer;7;3
692;Jarre;Nenneke;1;3
693;Yennefer;Nenneke;12;3
694;Yennefer;Jarre;7;3
695;Jarre;Forest;1;3
696;Jarre;King;1;3
697;Jarre;Geralt;1;3
698;Iola;Nenneke;2;3
699;Ciri;Jan;1;3
700;Dandelion;Essi;1;3
701;Dandelion;Blue;1;3
702;Essi;Blue;1;3
703;Essi;Yennefer;1;3
704;Blue;Yennefer;1;3
705;Blue;Ciri;1;3
706;Geralt;Forest;2;3
707;Forest;Ciri;1;3
708;Crach;Calanthe;5;3
709;Crach;Ciri;2;3
710;Calanthe;Eist;1;3
711;Ciri;Eist;1;3
712;Ciri;Crach;2;3
713;Eist;Crach;2;3
714;Pavetta;Ciri;2;3
715;Yennefer;Ithlinne;1;3
716;Yennefer;Sword;1;3
717;Nenneke;Ithlinne;1;3
718;Nenneke;Sword;1;3
719;Ithlinne;Sword;1;3
720;Ithlinne;Yennefer;1;3
721;Ithlinne;Ciri;1;3
722;Sword;Yennefer;1;3
723;Sword;Ciri;1;3
724;Aplegatt;King;1;4
725;King;Aplegatt;2;4
726;Aplegatt;Meve;1;4
727;Aplegatt;Demavend;2;4
728;Aplegatt;Emhyr;1;4
729;Meve;Demavend;1;4
730;Meve;Emhyr;1;4
731;Demavend;Emhyr;1;4
732;Emhyr;Vissegerd;1;4
733;Vissegerd;Forest;1;4
734;Aplegatt;Ciri;2;4
735;Ciri;Aplegatt;2;4
736;Aplegatt;Yennefer;1;4
737;Ciri;Yennefer;31;4
738;Yennefer;Aplegatt;1;4
739;Aplegatt;Foltest;1;4
740;Foltest;Demavend;2;4
741;Codringher;Geralt;9;4
742;Geralt;Codringher;12;4
743;Codringher;Dandelion;3;4
744;Rience;Calanthe;1;4
745;Rience;Codringher;8;4
746;Codringher;Rience;10;4
747;Rience;Geralt;4;4
748;Geralt;Rience;6;4
749;Rience;Yennefer;2;4
750;Yennefer;Codringher;2;4
751;Yennefer;Rience;2;4
752;Codringher;Emhyr;1;4
753;Codringher;Philippa;1;4
754;Emhyr;Philippa;2;4
755;Emhyr;Sabrina;1;4
756;Emhyr;Henselt;2;4
757;Philippa;Sabrina;4;4
758;Philippa;Henselt;1;4
759;Sabrina;Henselt;3;4
760;Sabrina;Rience;1;4
761;Henselt;Rience;1;4
762;Codringher;Foltest;1;4
763;Codringher;Ciri;2;4
764;Foltest;Ciri;1;4
765;Foltest;Codringher;1;4
766;Ciri;Codringher;1;4
767;Ciri;Geralt;7;4
768;Rience;King;1;4
769;Codringher;King;1;4
770;Codringher;Calanthe;3;4
771;King;Calanthe;1;4
772;Geralt;King;1;4
773;King;Rience;1;4
774;Calanthe;Roegner;5;4
775;Roegner;Pavetta;4;4
776;Pavetta;Geralt;1;4
777;Geralt;Roegner;2;4
778;Codringher;Roegner;1;4
779;Roegner;Calanthe;1;4
780;Roegner;Ciri;1;4
781;Ciri;Calanthe;1;4
782;Geralt;Calanthe;1;4
783;Geralt;Pavetta;2;4
784;Calanthe;Pavetta;5;4
785;Pavetta;Calanthe;3;4
786;Pavetta;Eist;1;4
787;Eist;Calanthe;1;4
788;Calanthe;Codringher;1;4
789;Pavetta;Codringher;1;4
790;Emhyr;King;1;4
791;Akerspaark;Emhyr;1;4
792;Akerspaark;Horm;1;4
793;Horm;Codringher;1;4
794;Horm;Akerspaark;1;4
795;Codringher;Akerspaark;1;4
796;Akerspaark;Geralt;1;4
797;Geralt;Akerspaark;1;4
798;Geralt;Ciri;9;4
799;Akerspaark;Pavetta;1;4
800;Akerspaark;Ciri;1;4
801;Pavetta;Ciri;1;4
802;Ithlinne;Aen;1;4
803;Ithlinne;Codringher;1;4
804;Ithlinne;Geralt;1;4
805;Aen;Codringher;1;4
806;Aen;Geralt;1;4
807;Yennefer;Gar;2;4
808;Geralt;Yennefer;23;4
809;Little;Aplegatt;1;4
810;Demavend;Aplegatt;2;4
811;Aplegatt;Gar;1;4
812;Gar;Toruviel;1;4
813;Gar;Yaevinn;1;4
814;Toruviel;Yaevinn;1;4
815;Yaevinn;Toruviel;2;4
816;Toruviel;Aplegatt;1;4
817;Dandelion;Two;1;4
818;Yennefer;Ciri;26;4
819;Ciri;Yarpen;3;4
820;Yarpen;Yennefer;2;4
821;Yennefer;Jarre;1;4
822;Ciri;Jarre;3;4
823;Jarre;Molnar;1;4
824;Molnar;Ciri;5;4
825;Ciri;Molnar;4;4
826;Molnar;Yennefer;2;4
827;Yennefer;Molnar;5;4
828;Yennefer;Emhyr;1;4
829;Foltest;Molnar;1;4
830;Yennefer;Fifteen;1;4
831;Molnar;Little;1;4
832;Little;Yennefer;1;4
833;Little;Molnar;1;4
834;Fabio;Ciri;18;4
835;Ciri;Fabio;21;4
836;Fabio;Yennefer;2;4
837;Fabio;Molnar;1;4
838;Yennefer;Fabio;2;4
839;Molnar;Fabio;1;4
840;Fabio;Gar;1;4
841;Count;Ciri;1;4
842;Ciri;Nenneke;2;4
843;Fabio;Nenneke;1;4
844;Nenneke;Gar;1;4
845;Gar;Ciri;6;4
846;Two;Ciri;3;4
847;Two;Fabio;1;4
848;Jarre;Yennefer;1;4
849;Ciri;Tissaia;3;4
850;Ciri;Anna;1;4
851;Anna;Ciri;1;4
852;Anna;Yennefer;1;4
853;Yennefer;Margarita;2;4
854;Tissaia;Margarita;2;4
855;Tissaia;Yennefer;5;4
856;Tissaia;Ciri;2;4
857;Margarita;Yennefer;2;4
858;Falka;Rayla;2;4
859;Rayla;Ciri;1;4
