id,name,type,birth,group,background,testpilot,bachelor,master,phd,almamater1,almamater2,marriage,kids,divorced,religion,moonwalker,boyscout,boyscout_rank,career,freemason,fraternity,id
Mitchell,Edgar Mitchell,0,1930,5,1,yes,1952,1964,yes,Carnegie,MIT,yes,3,yes,Esoteric,yes,yes,Lifescout,Corporate,yes,SigmaGammaTau,Mitchell
Roosa,Stuart Roosa,0,1933,5,2,yes,1960,no,no,Boulder,NA,yes,3,no,NA,no,yes,NA,Corporate,no,NA,Roosa
Schirra,Walter Schirra,0,1923,1,1,yes,1945,no,no,Newark,NA,yes,2,no,NA,no,yes,Firstclass,Corporate,yes,NA,Schirra
Schmitt,Harrison Schmitt,0,1935,5,4,no,1957,1964,yes,Caltech,Harvard,yes,NA,NA,NA,yes,yes,NA,Politics,no,NA,Schmitt
Schweickart,Rusty Schweickart,0,1935,3,2,no,1956,1963,no,MIT,MIT,yes,NA,yes,Esoteric,no,yes,Firstclass,Corporate,no,NA,Schweickart
Scott,David Scott,0,1932,3,2,yes,1954,1962,no,USMA,MIT,yes,2,no,NA,yes,yes,Lifescout,Nasa,no,TauBetaPi,Scott
Shepard,Alan Shepard,0,1923,1,1,yes,1944,1957,no,USNA,NWC,yes,3,no,ChristianScientist,yes,yes,NA,Corporate,no,NA,Shepard
Skylab_3,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Skylab_3
Slayton,Deke Slayton,0,1924,1,2,yes,1949,NA,no,Minnesota,NA,yes,1,yes,NA,no,yes,NA,Corporate,no,NA,Slayton
Stafford,Thomas Stafford,0,1930,2,2,yes,1952,NA,no,USNA,NA,yes,2,yes,NA,no,yes,NA,Airforce,yes,NA,Stafford
STS-4,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,STS-4
STS-51-C,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,STS-51-C
STS1_Columbia,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,STS1_Columbia
Swigert,Jack Swigert,0,1931,5,2,yes,1953,1965,no,Colorado,Rensselaer,no,0,NA,NA,no,yes,Secondclass,Politics,no,PhiGammaDelta,Swigert
White,Ed White,0,1930,2,2,yes,1952,1959,no,USMA,Michigan,yes,2,no,Methodist,no,no,NA,Death,no,,White
Worden,Al Worden,0,1932,5,2,yes,1955,1963,no,USMA,Michigan,yes,0,yes,NA,no,yes,Firstclass,Corporate,no,,Worden
Young,John Joung,0,1930,2,1,yes,1952,no,no,Georgia,NA,yes,2,yes,NA,yes,yes,Secondclass,Nasa,no,SigmaChi,Young
