from,to,relationship,time,position
self,bmg,2,2012,NA
aufk,univ,2,2015,NA
rafc,wolf,1,2008,2
rafc,irie,1,2012,2
rafc,indi,1,2013,1
indi,bmg,2,2013,NA
bone,dist,1,2014,2
bone,topr,1,2012,1
topr,soul,2,2012,NA
topr,dist,2,2012,NA
bone,aufk,1,2009,2
gzuz,dist,1,2014,2
gzuz,topr,1,2012,1
gzuz,aufk,1,2009,2
lx,dist,1,2014,2
lx,topr,1,2012,1
lx,aufk,1,2009,2
sa4,dist,1,2014,2
sa4,topr,1,2012,1
sa4,aufk,1,2009,2
maxw,aufk,1,2009,2
kont,dist,1,2010,2
kont,sony,1,2014,2
kont,bmg,1,2017,2
ssio,alle,1,2007,2
shne,self,1,2011,2
mike,self,1,2011,2
azad,3p,1,1999,2
azad,opti,1,2002,2
azad,bozz,1,2004,1
bozz,univ,2,2004,NA
biki,soul,2,2015,NA
capi,aufk,1,2015,1
nimo,385,1,2015,2
385,univ,2,2016,NA
ufo,stay,1,2017,1
zuna,kmn,1,2010,2
kryp,show,1,2000,2
kryp,isla,1,2006,2
isla,univ,2,2000,NA
pork,isla,1,2006,2
show,warn,2,2000,NA
ferr,univ,1,2008,2
pork,univ,1,2008,2
kryp,univ,1,2008,2
kryp,deic,1,2014,1
ferr,deic,1,2014,1
pork,deic,1,2014,1
kryp,sult,1,2015,2
ferr,sult,1,2015,2
pork,sult,1,2015,2
schw,3p,1,1995,2
3p,sony,2,1992,NA
3p,univ,2,2001,NA
scho,mzee,1,1996,2
ju,mzee,1,1996,2
wasi,mzee,1,1996,2
scho,warn,1,1998,2
ju,warn,1,1998,2
wasi,warn,1,1998,2
scho,kopf,1,2000,1
ju,kopf,1,2000,1
wasi,kopf,1,2000,1
kopf,warn,2,2000,NA
east,warn,2,1990,NA
boun,pete,4,1998,NA
dell,pete,4,1998,NA
boun,dell,4,1998,NA
mate,john,4,2006,NA
mate,donc,4,2006,NA
mate,chin,4,2006,NA
mate,lafr,4,2006,NA
mate,lars,4,2006,NA
mate,mrre,4,2006,NA
john,donc,4,2006,NA
john,chin,4,2006,NA
john,lafr,4,2006,NA
john,lars,4,2006,NA
john,mrre,4,2006,NA
donc,chin,4,2006,NA
donc,lafr,4,2006,NA
donc,lars,4,2006,NA
donc,mrre,4,2006,NA
chin,lafr,4,2006,NA
chin,lars,4,2006,NA
chin,mrre,4,2006,NA
lafr,lars,4,2006,NA
lafr,mrre,4,2006,NA
lars,mrre,4,2006,NA
smud,thom,4,1989,NA
smud,mich,4,1989,NA
mich,thom,4,1989,NA
bjoe,dokt,4,1992,NA
dokt,koen,4,1992,NA
koen,bjoe,4,1992,NA
jand,deny,4,1992,NA
tare,maxi,4,2000,NA
nico,tare,4,2000,NA
maxi,nico,4,2000,NA
shne,mike,4,2006,NA
mike,shne,4,2006,NA
timi,alli,4,2009,NA
alli,sudd,4,2009,NA
sudd,timi,4,2009,NA
alli,sudd,4,2009,NA
gzuz,lx,4,2006,NA
gzuz,bone,4,2006,NA
gzuz,sa4,4,2006,NA
gzuz,maxw,4,2006,NA
bone,lx,4,2006,NA
bone,maxw,4,2006,NA
bone,sa4,4,2006,NA
lx,maxw,4,2006,NA
lx,sa4,4,2006,NA
sa4,maxw,4,2006,NA
kryp,ferr,4,1997,NA
kryp,pork,4,1997,NA
pork,ferr,4,1997,NA
scho,wasi,4,1992,NA
ju,wasi,4,1992,NA
ju,scho,4,1992,NA
samy,afro,3,2003,NA
kool,azad,3,2005,NA
sido,btig,3,2006,NA
sido,fler,3,2006,NA
sido,tony,3,2006,NA
sido,ghot,3,2006,NA
btig,fler,3,2006,NA
btig,tony,3,2006,NA
btig,ghot,3,2006,NA
fler,tony,3,2006,NA
fler,ghot,3,2006,NA
tony,ghot,3,2006,NA
sido,bush,3,2011,NA
koll,fari,3,2013,NA
bush,shin,3,2015,NA
rafc,bone,3,2016,NA
sido,kool,3,2017,NA
kcre,summ,3,2017,NA
pete,down,1,2008,NA
koen,yoma,1,1995,NA
bjoe,yoma,1,1995,NA
dokt,yoma,1,1995,NA
